"X","Y","src_geo","clc_quartier","clc_secteur","id_arbre","haut_tot","haut_tronc","tronc_diam","fk_arb_etat","fk_stadedev","fk_situation","dte_plantation","age_estim","clc_nbr_diag","dte_abattage","nomfrancais","feuillage","remarquable"
"1720057.8587","8295024.8474","Orthophoto","Quartier saint-jean","Accueil de loisirs kergomard","1","16","4",148,"En place","Adulte","Groupe","",50,0,NA,"Tiltom","Feuillu","Non"
"1719482.7256","8295265.287","Orthophoto","Quartier du vermandois","Ancienne ecole david et maigret","1","5","2",49,"En place","Jeune","Isolé","",20,0,NA,"Amelam","Feuillu","Non"
"1722294.2737","8295055.4484","Orthophoto","Quartier remicourt","Auberge de jeunesse","1","25","2",250,"Supprimé","Adulte","Alignement","",50,1,NA,"Popnigita","Feuillu","Non"
"1718428.5936","8295551.3859","Orthophoto","Quartier du vermandois","Avenue archimède","1","7","0",80,"En place","Jeune","Alignement","",15,NA,NA,"Fagsylfas","Feuillu","Non"
"1722091.5789","8294788.2223","Orthophoto","Quartier remicourt","Avenue aristide briand","1","5","2",25,"En place","Jeune","Alignement","",10,0,NA,"Amelam","Feuillu","Non"
"1721704.4101","8295715.4818","Orthophoto","Quartier de l'europe","Avenue buffon","1","20","4",170,"En place","Adulte","Isolé","",50,0,NA,"Plaace","Feuillu","Non"
"1721665.3475","8295181.3779","Orthophoto","Quartier remicourt","Avenue charles feuillette","1","8","3",170,"En place","Adulte","Isolé","",40,0,NA,"Acepla","Feuillu","Non"
"1721804.7473","8295053.0382","Orthophoto","Quartier remicourt","Avenue de la paix","1","8","3",185,"Remplacé","Adulte","Alignement","",40,0,2017-10-01,"Acepla","Feuillu","Non"
"1721847.3866","8295457.0477","Orthophoto","Quartier remicourt","Avenue de la république","1","3","2",25,"Remplacé","Jeune","Alignement","2012/11/01 00:00:00+00",8,0,2016-10-01,"Acecamros","Feuillu","Non"
"1721955.071","8295428.9167","Orthophoto","Quartier remicourt","Avenue de la résistance","1","22","2",200,"Remplacé","Adulte","Groupe","",40,1,2015-01-01,"Poptre","Feuillu","Non"
"1722749.1226","8293099.857","Orthophoto","Quartier du faubourg d'isle","Avenue des fusillés de fontaine notre dame","1","14","2",100,"En place","Adulte","Isolé","",25,0,NA,"Betpen","Feuillu","Non"
"1718596.9266","8293557.5862","Orthophoto","Quartier saint-martin - oëstres","Avenue du cimetière de la tombelle","1","7","2",110,"En place","Adulte","Alignement","",50,0,NA,"Prucerpis","Feuillu","Non"
"1721265.3764","8293677.0991","Orthophoto","Quartier remicourt","Avenue du général de gaulle","1","14","4",133,"Remplacé","Adulte","Alignement","",50,0,2016-07-01,"Plaace","Feuillu","Non"
"1720085.3286","8293864.4308","Orthophoto","Quartier du centre-ville","Avenue faidherbe","1","4","2",25,"En place","Jeune","Alignement","2013/10/01 00:00:00+00",10,0,NA,"Pyrcalcha","Feuillu","Non"
"1721486.2107","8293607.2745","Orthophoto","Quartier du faubourg d'isle","Avenue léo lagrange","1","5","2",20,"Remplacé","Jeune","Alignement","",5,0,2012-11-01,"Quepal","Feuillu","Non"
"1721537.1722","8295807.3182","Orthophoto","Quartier de l'europe","Avenue robert schuman","1","9","2",195,"Supprimé","Adulte","Alignement","",50,1,2017-10-31,"Catbig","Feuillu","Non"
"1720674.0328","8296237.4849","Orthophoto","Quartier saint-jean","Banque alimentaire","1","4","2",16,"En place","Jeune","Alignement","",5,0,NA,"Maltor1","Feuillu","Non"
"1720620.1017","8293997.9415","Orthophoto","Quartier du centre-ville","Bibliothèque guy de maupassant","1","10","2",195,"Essouché","Adulte","Groupe","",50,0,2018-02-28,"Pruserkan","Feuillu","Non"
"1721143.4168","8293022.156","Orthophoto","Quartier du faubourg d'isle","Boulevard cordier","1","6","5",160,"Essouché","Adulte","Alignement","",40,0,2016-06-01,"Tilcor","Feuillu","Non"
"1719894.4843","8294019.9895","Orthophoto","Quartier saint-martin - oëstres","Boulevard de verdun","1","10","2",110,"Supprimé","Adulte","Alignement","",50,0,2013-07-01,"Acepse","Feuillu","Non"
"1721441.1944","8292843.3205","Orthophoto","Quartier du faubourg d'isle","Boulevard du docteur camille guérin","1","13","2",155,"En place","Adulte","Alignement","",40,0,NA,"Plaace","Feuillu","Non"
"1722291.1325","8296044.6138","Orthophoto","Quartier de l'europe","Boulevard du docteur schweitzer","1","13","2",105,"En place","Adulte","Isolé","",30,0,NA,"Pinnignig","Conifère","Non"
"1721841.1643","8292903.6991","Orthophoto","Quartier du faubourg d'isle","Boulevard du maréchal juin","1","6","2",35,"En place","Jeune","Alignement","",10,0,NA,"Acecam","Feuillu","Non"
"1720941.1656","8294899.0982","Orthophoto","Quartier remicourt","Boulevard gambetta","1","7","1",63,"En place","Jeune","Alignement","",15,0,NA,"Lirtul","Feuillu","Non"
"1720118.1782","8294415.6778","Orthophoto","Quartier du centre-ville","Boulevard henri martin","1","6","3",45,"En place","Jeune","Alignement","",15,0,NA,"Corcol","Feuillu","Non"
"1721925.302","8294408.0215","Orthophoto","Quartier remicourt","Boulevard jean bouin","1","4","2",40,"En place","Jeune","Alignement","",15,0,NA,"Prucerpis","Feuillu","Non"
"1721182.5966","8293643.784","Orthophoto","Quartier du centre-ville","Boulevard léon blum","1","14","8",230,"En place","Adulte","Alignement","",80,1,NA,"Plaace","Feuillu","Non"
"1720676.8878","8293557.9349","Orthophoto","Quartier du centre-ville","Boulevard victor hugo","1","9","2",80,"En place","Adulte","Alignement","",50,0,NA,"Carbetfas","Feuillu","Non"
"1721888.3108","8293454.4588","Orthophoto","Quartier du faubourg d'isle","Ccas","1","8","2",105,"En place","Adulte","Isolé","",25,0,NA,"Betpenyou","Feuillu","Non"
"1722850.0383","8293059.0521","Orthophoto","Quartier de neuville","Centre commercial neuville","1","9","2",163,"En place","Adulte","Alignement","",30,0,NA,"Plaace","Feuillu","Non"
"1719619.1836","8294779.0816","Orthophoto","Quartier saint-jean","Centre de formation bachy","1","7","0",170,"En place","Adulte","Alignement","",35,0,NA,"Pruser","Feuillu","Non"
"1720005.6637","8295017.8927","Orthophoto","Quartier saint-jean","Centre multi-sport pierre arnould","1","12","2",230,"En place","Adulte","Isolé","",80,0,NA,"Tilcor","Feuillu","Non"
"1719724.2342","8295369.0803","Orthophoto","Quartier du vermandois","Centre social champagne - artois","1","6","2",42,"En place","Adulte","Groupe","",30,0,NA,"Aceneg","Feuillu","Non"
"1722423.3794","8292242.4284","","Quartier du faubourg d'isle","Centre technique de l'agglomération","1","4","0",14,"En place","Jeune","Isolé","",10,NA,NA,"Prucer","Feuillu","Non"
"1720843.3364","8295700.4826","Orthophoto","Quartier saint-jean","Chemin de lehaucourt","1","12","2",94,"En place","Adulte","Groupe","",30,0,NA,"Betpen","Feuillu","Non"
"1722051.3621","8296331.4798","Orthophoto","Omissy","Chemin de morcourt","1","14","3",88,"En place","Adulte","Alignement","",35,0,NA,"Pinnignig","Conifère","Non"
"1723269.9367","8292914.3599","Orthophoto","Quartier de neuville","Chemin rural dit vieux chemin de saint quentin à ribermont","1","8","0",82,"En place","Adulte","Groupe","",25,0,NA,"Acecam","Feuillu","Non"
"1719595.9193","8295594.775","Orthophoto","Quartier du vermandois","Chemin saint laurent","1","15","6",140,"En place","Adulte","Groupe","",50,0,NA,"Fraexc","Feuillu","Non"
"1718772.2917","8293163.5437","Orthophoto","Quartier saint-martin - oëstres","Cimetière de la tombelle","1","13","3",110,"En place","Adulte","Alignement","",50,0,NA,"Betpen","Feuillu","Non"
"1720839.6529","8295397.9935","Orthophoto","Quartier remicourt","Cimetière saint-jean","1","11","3",150,"En place","Adulte","Isolé","",40,0,NA,"Cupari","Conifère","Non"
"1722582.6262","8293685.6054","Orthophoto","Quartier du faubourg d'isle","Cimetière sud","1","7","4",116,"En place","Adulte","Alignement","",30,0,NA,"Tilcor","Feuillu","Non"
"1720599.7254","8293479.2506","Orthophoto","Quartier du centre-ville","Communauté d'agglomération - propriété privée - tour y val","1","17","4",296,"En place","Vieux","Isolé","",60,2,NA,"Salbab","Feuillu","Non"
"1720871.8568","8293813.9015","Orthophoto","Quartier du centre-ville","Ecole élémentaire amédée ozenfant","1","15","4",94,"En place","Adulte","Groupe","",30,0,NA,"Betpen","Feuillu","Non"
"1719070.1762","8293061.7314","Orthophoto","Quartier saint-martin - oëstres","Ecole élémentaire ernest lavisse","1","19","3",170,"Essouché","Adulte","Alignement","",35,0,2016-06-01,"Plaace","Feuillu","Non"
"1722201.4443","8292825.4653","Orthophoto","Quartier de neuville","Ecole élémentaire eugène corette","1","16","4",165,"En place","Adulte","Groupe","",45,0,NA,"Pinnignig","Conifère","Non"
"1719920.2394","8294461.3626","Orthophoto","Quartier saint-jean","Ecole élémentaire paringault","1","5","1",84,"En place","Adulte","Isolé","",30,NA,NA,"Prulau","Feuillu","Non"
"1723039.78","8292611.578","Orthophoto","Quartier de neuville","Ecole maternelle benjamin rouché","1","16","4",104,"En place","Adulte","Isolé","",35,0,NA,"Betpen","Feuillu","Non"
"1722131.0457","8293238.6818","Orthophoto","Quartier du faubourg d'isle","Ecole maternelle des girondins","1","16","3",129,"En place","Adulte","Alignement","",35,0,NA,"Acepse","Feuillu","Non"
"1720777.1616","8293874.8085","Orthophoto","Quartier du centre-ville","Ecole maternelle des patriotes","1","15","5",228,"En place","Adulte","Groupe","",100,NA,NA,"Acepla","Feuillu","Non"
"1719152.7763","8293034.4919","Orthophoto","Quartier saint-martin - oëstres","Ecole maternelle ernest lavisse","1","8","2",55,"Remplacé","Adulte","Isolé","",20,0,2016-05-31,"Malpereve","Feuillu","Non"
"1721911.4332","8295046.0644","Orthophoto","Quartier remicourt","Ecole maternelle françois collery","1","17","2",250,"En place","Adulte","Alignement","",50,0,NA,"Chalaw","Conifère","Non"
"1719393.4233","8294870.6515","Orthophoto","Quartier du vermandois","Ecole maternelle maria montessori","1","10","1",145,"En place","Adulte","Isolé","",40,0,NA,"Cassat","Feuillu","Non"
"1719794.9954","8294647.9447","Orthophoto","Quartier saint-jean","Ecole maternelle montplaisir","1","6","2",149,"En place","Adulte","Isolé","",60,NA,NA,"Tilcor","Feuillu","Non"
"1722034.5709","8296016.238","Orthophoto","Omissy","Ecole maternelle paul bert","1","17","3",126,"En place","Adulte","Groupe","",40,0,NA,"Pinnignig","Conifère","Non"
"1721367.7845","8295915.9967","Orthophoto","Quartier de l'europe","Ecole maternelle pierre laroche","1","13","4",210,"En place","Adulte","Isolé","",45,0,NA,"Salbab","Feuillu","Non"
"1721274.1263","8295653.9764","Orthophoto","Quartier de l'europe","Ecole maternelle robert schuman","1","23","3",100,"En place","Adulte","Groupe","",40,0,NA,"Betpen","Feuillu","Non"
"1720906.5528","8294454.1353","Orthophoto","Quartier du centre-ville","Ecole metz","1","6","2",28,"En place","Jeune","Groupe","",15,0,NA,"Liqsty","Feuillu","Non"
"1722137.5166","8293280.7867","Orthophoto","Quartier du faubourg d'isle","Ecole primaire des girondins","1","11","3",144,"En place","Adulte","Alignement","",25,0,NA,"Acepseatr","Feuillu","Non"
"1721946.8956","8295034.8996","Orthophoto","Quartier remicourt","Ecole primaire françois collery","1","12","3",97,"En place","Adulte","Groupe","",30,0,NA,"Ulmjap","Feuillu","Non"
"1722818.2948","8292977.4738","Orthophoto","Quartier de neuville","Ecole primaire henri arnould","1","11","3",50,"En place","Adulte","Isolé","",20,0,NA,"Betpen","Feuillu","Non"
"1721983.372","8296034.1664","Orthophoto","Omissy","Ecole primaire paul bert","1","4","2",66,"Remplacé","Adulte","Alignement","",35,0,2019-11-30,"Pruserkan","Feuillu","Non"
"1721410.8712","8295894.0118","Orthophoto","Quartier de l'europe","Ecole primaire pierre laroche","1","14","2",120,"Supprimé","Adulte","Alignement","",50,1,2017-06-30,"Tilcor","Feuillu","Non"
"1719689.354","8293544.1049","Orthophoto","Quartier saint-martin - oëstres","Ecole theillier desjardins","1","7","2",63,"En place","Adulte","Alignement","",20,NA,NA,"Sorauc","Feuillu","Non"
"1721392.7217","8295665.6581","Orthophoto","Quartier de l'europe","Eglise jean xxiii","1","15","3",85,"En place","Adulte","Groupe","",30,0,NA,"Betpen","Feuillu","Non"
"1723378.2119","8293181.8876","Orthophoto","Harly","Entrée de ville avenue pierre choquart","1","3","0",11,"En place","Jeune","Alignement","2015/01/01 00:00:00+00",5,0,NA,"Taxbac","Conifère","Non"
"1722478.8177","8295437.5071","Orthophoto","Rouvroy","Entrée de ville rd 300 rouvray","1","3","1",10,"En place","Jeune","Alignement","2015/01/01 00:00:00+00",5,0,NA,"Taxbac","Conifère","Non"
"1717832.5186","8292123.5933","","Quartier saint-martin - oëstres","Entrée de ville rue de paris","1","3","0",5,"En place","Jeune","Alignement","2016/01/01 00:00:00+00",5,0,NA,"Taxbac","Conifère","Non"
"1719367.5946","8295953.614","Orthophoto","Quartier du vermandois","Entrée du centre hospitalier","1","5","2",22,"En place","Jeune","Alignement","",15,0,NA,"Betpen","Feuillu","Non"
"1718967.5327","8295278.6661","Orthophoto","Quartier du vermandois","Espace creatis","1","6","2",35,"En place","Jeune","Isolé","",10,NA,NA,"Quecer","Feuillu","Non"
"1721528.032","8296195.7669","Orthophoto","Quartier de l'europe","Espace de glisse","1","17","4",150,"En place","Adulte","Isolé","",30,0,NA,"Acepse","Feuillu","Non"
"1722149.111","8295170.7766","Orthophoto","Quartier remicourt","Espace henry dunant","1","13","2",170,"Essouché","Adulte","Isolé","",40,0,2019-11-30,"Aceplacri","Feuillu","Non"
"1720164.0062","8294913.3111","Orthophoto","Quartier saint-jean","Espace matisse","1","12","2",70,"En place","Adulte","Groupe","",50,0,NA,"Betpen","Feuillu","Non"
"1721358.6733","8292818.0726","","Quartier du faubourg d'isle","Giratoire camille guerin","1","7","2",45,"En place","Jeune","Groupe","",15,NA,NA,"Querob","Feuillu","Non"
"1718722.4166","8294717.3161","Orthophoto","Quartier saint-martin - oëstres","Giratoire epide","1","4","2",28,"En place","Jeune","Isolé","",10,NA,NA,"Prucerpis","Feuillu","Non"
"1720655.7258","8295292.1518","Orthophoto","Quartier saint-jean","Groupe scolaire alfred clin","1","10","0",88,"En place","Adulte","Alignement","",30,0,NA,"Prucerpis","Feuillu","Non"
"1721226.5593","8295023.906","Orthophoto","Quartier remicourt","Groupe scolaire camille desmoulins","1","5","2",50,"Remplacé","Adulte","Groupe","",20,0,2019-11-30,"Prucerpis","Feuillu","Non"
"1719608.9982","8295810.9215","Orthophoto","Quartier du vermandois","Groupe scolaire ferdinand buisson","1","12","0",138,"En place","Adulte","Isolé","",40,0,NA,"Tileur","Feuillu","Non"
"1719657.9282","8294869.662","Orthophoto","Quartier saint-jean","Groupe scolaire georges bachy","1","16","0",120,"En place","Adulte","Isolé","",40,0,NA,"Betpen","Feuillu","Non"
"1719170.8661","8294078.559","Orthophoto","Quartier saint-martin - oëstres","Groupe scolaire jean macé","1","5","2",32,"En place","Jeune","Groupe","",5,NA,NA,"Tilhen","Feuillu","Non"
"1721509.0268","8294419.7903","Orthophoto","Quartier remicourt","Groupe scolaire quentin barré","1","12","2",175,"En place","Adulte","Isolé","",50,NA,NA,"Pruser","Feuillu","Non"
"1719690.0057","8293680.6507","Orthophoto","Quartier saint-martin - oëstres","Groupe scolaire xavier aubryet","1","11","3",160,"En place","Adulte","Groupe","",40,0,NA,"Acepse","Feuillu","Non"
"1721489.2932","8296243.1615","Orthophoto","Quartier de l'europe","Gymnase bertrand gamess","1","7","2",30,"Remplacé","Jeune","Groupe","",10,0,2015-04-01,"Acecap","Feuillu","Non"
"1722252.1596","8292720.6202","Orthophoto","Quartier de neuville","Gymnase eugène corette","1","14","4",130,"En place","Adulte","Groupe","",35,0,NA,"Pinnignig","Conifère","Non"
"1722028.5779","8295038.8099","Orthophoto","Quartier remicourt","Gymnase françois collery","1","15","4",141,"En place","Adulte","Alignement","",35,0,NA,"Tilcor","Feuillu","Non"
"1722022.9684","8296247.6105","Orthophoto","Omissy","Gymnase lep","1","18","2",120,"En place","Adulte","Groupe","",45,0,NA,"Betpen","Feuillu","Non"
"1721466.6809","8295894.6009","Orthophoto","Quartier de l'europe","Gymnase pierre laroche","1","23","5",185,"En place","Adulte","Alignement","",45,0,NA,"Plaace","Feuillu","Non"
"1721153.591","8295612.826","Orthophoto","Quartier de l'europe","Gymnase robert schuman","1","18","1",240,"En place","Adulte","Isolé","",40,0,NA,"Cupsem","Conifère","Non"
"1720888.6932","8294728.8062","Orthophoto","Quartier remicourt","Jardin d'horticulture","1","16","6",129,"En place","Adulte","Alignement","",50,0,NA,"Plaace","Feuillu","Non"
"1721644.041","8294709.1022","Orthophoto","Quartier remicourt","La boisselle","1","16","4",131,"En place","Adulte","Groupe","",30,0,NA,"Betpen","Feuillu","Non"
"1721944.6585","8292764.0146","Orthophoto","Quartier du faubourg d'isle","Le million populaire","1","24","5",240,"En place","Adulte","Isolé","",70,0,NA,"Aeship","Feuillu","Non"
"1721001.9054","8295753.6193","Orthophoto","Quartier de l'europe","Local espaces verts europe","1","16","5",155,"En place","Adulte","Groupe","",40,0,NA,"Cedlib","Conifère","Non"
"1721908.0656","8293189.3429","Orthophoto","Quartier du faubourg d'isle","Mairie annexe du faubourg d'isle","1","5","2",165,"En place","Adulte","Alignement","",50,0,NA,"Tilcor","Feuillu","Non"
"1720213.8846","8293838.3042","Orthophoto","Quartier du centre-ville","Maison de la petite enfance","1","4","2",40,"En place","Jeune","Isolé","",15,0,NA,"Amelam","Feuillu","Non"
"1720576.4511","8294112.9587","Orthophoto","Quartier du centre-ville","Office des sports","1","8","2",90,"En place","Adulte","Isolé","",40,NA,NA,"Ileaqu","Feuillu","Non"
"1720937.2857","8293897.2077","Orthophoto","Quartier du centre-ville","Office social","1","15","4",155,"En place","Adulte","Isolé","",60,NA,NA,"Tilcor","Feuillu","Non"
"1720544.839","8294299.6354","Orthophoto","Quartier du centre-ville","Palais de fervaques","1","8","0",100,"En place","Adulte","Isolé","",20,0,NA,"Pruserama","Feuillu","Non"
"1722621.7128","8294207.3072","Orthophoto","Quartier du faubourg d'isle","Parc animalier du parc d'isle","1","6","2",37,"En place","Jeune","Isolé","",10,0,NA,"Cedlib","Conifère","Non"
"1721957.1567","8293772.8712","Orthophoto","Quartier du faubourg d'isle","Parc d'isle jacques braconnier","1","10","2",70,"En place","Adulte","Groupe","",25,0,NA,"Carbet","Feuillu","Non"
"1721118.786","8294589.5801","Orthophoto","Quartier remicourt","Parc des champs-elysées","1","24","11",215,"En place","Adulte","Groupe","",80,2,NA,"Tilcor","Feuillu","Non"
"1720932.7137","8294674.8322","Orthophoto","Quartier remicourt","Parc des champs-elysées : logement de fonction","1","9","2",94,"En place","Adulte","Alignement","",35,0,NA,"Pruserkan","Feuillu","Non"
"1718599.943","8292269.2245","Orthophoto","Quartier saint-martin - oëstres","Parcelle co0456","1","10","1",201,"En place","Adulte","Isolé","",50,0,NA,"Jugreg","Feuillu","Non"
"1720478.8928","8294188.5134","Orthophoto","Quartier du centre-ville","Parking arthur gibert","1","10","3",60,"Essouché","Adulte","Groupe","",50,0,2019-01-31,"Betpen","Feuillu","Non"
"1719594.4003","8295781.0406","Orthophoto","Quartier du vermandois","Parking ecole ferdinand buisson","1","7","2",162,"Remplacé","Adulte","Isolé","",50,0,2019-11-30,"Pruser","Feuillu","Non"
"1721048.1065","8294037.4083","Orthophoto","Quartier du centre-ville","Parking michelet","1","13","4",220,"En place","Adulte","Isolé","",80,0,NA,"Acepse","Feuillu","Non"
"1721557.5392","8293569.0612","Orthophoto","Quartier du faubourg d'isle","Parvis gare","1","7","2",34,"En place","Jeune","Groupe","2016/01/01 00:00:00+00",5,0,NA,"Quecer","Feuillu","Non"
"1720243.765","8296243.8034","Orthophoto","Quartier saint-jean","Parvis stade paul debrésie","1","7","3",80,"En place","Adulte","Alignement","",30,0,NA,"Tilcor","Feuillu","Non"
"1722261.7905","8294939.983","Orthophoto","Quartier remicourt","Piscine jean bouin","1","10","2",95,"En place","Adulte","Groupe","",30,0,NA,"Pinnignig","Conifère","Non"
"1721578.491","8293431.9186","Orthophoto","Quartier du faubourg d'isle","Place carnot","1","7","3",55,"En place","Jeune","Alignement","",20,0,NA,"Pinsyl","Conifère","Non"
"1721474.1367","8293334.7317","Orthophoto","Quartier du faubourg d'isle","Place cordier","1","7","3",60,"Supprimé","Jeune","Groupe","",25,0,2016-05-31,"Pinsyl","Conifère","Non"
"1720599.0032","8294850.4694","Orthophoto","Quartier du centre-ville","Place crommelin","1","3","0",22,"En place","Jeune","Groupe","2013/04/01 00:00:00+00",7,0,NA,"Taxbac","Conifère","Non"
"1721107.2865","8294118.5025","Orthophoto","Quartier du centre-ville","Place danton","1","10","3",122,"En place","Adulte","Groupe","",50,0,NA,"Tilcor","Feuillu","Non"
"1720732.3173","8294186.0452","Orthophoto","Quartier du centre-ville","Place de l'hôtel de ville","1","12","3",110,"En place","Adulte","Alignement","",50,0,NA,"Tilcor","Feuillu","Non"
