clc_quartier,fk_situation,feuillage,haut_tot,tronc_diam,age_estim,score_risque,priorite
Quartier Saint-Jean,Groupe,Feuillu,16.0,148,50,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier du Vermandois,Isolé,Feuillu,5.0,49,20,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier du Vermandois,Alignement,Feuillu,7.0,80,15,0,🟢 PRIORITÉ 4 - Routine
Quartier Remicourt,Alignement,Feuillu,5.0,25,10,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier de l'Europe,Isolé,Feuillu,20.0,170,50,3,🔴 PRIORITÉ 1 - Inspection urgente
Quartier Remicourt,Isolé,Feuillu,8.0,170,40,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du faubourg d'Isle,Isolé,Feuillu,14.0,100,25,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier Saint-Martin - Oëstres,Alignement,Feuillu,7.0,110,50,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du Centre-Ville,Alignement,Feuillu,4.0,25,10,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier Saint-Jean,Alignement,Feuillu,4.0,16,5,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du faubourg d'Isle,Alignement,Feuillu,13.0,155,40,0,🟢 PRIORITÉ 4 - Routine
Quartier de l'Europe,Isolé,Conifère,13.0,105,30,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier du faubourg d'Isle,Alignement,Feuillu,6.0,35,10,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier Remicourt,Alignement,Feuillu,7.0,63,15,0,🟢 PRIORITÉ 4 - Routine
Quartier du Centre-Ville,Alignement,Feuillu,6.0,45,15,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier Remicourt,Alignement,Feuillu,4.0,40,15,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du Centre-Ville,Alignement,Feuillu,14.0,230,80,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier du Centre-Ville,Alignement,Feuillu,9.0,80,50,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du faubourg d'Isle,Isolé,Feuillu,8.0,105,25,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier de Neuville,Alignement,Feuillu,9.0,163,30,0,🟢 PRIORITÉ 4 - Routine
Quartier Saint-Jean,Alignement,Feuillu,7.0,170,35,0,🟢 PRIORITÉ 4 - Routine
Quartier Saint-Jean,Isolé,Feuillu,12.0,230,80,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier du Vermandois,Groupe,Feuillu,6.0,42,30,1,🟡 PRIORITÉ 3 - Surveillance régulière
Quartier du faubourg d'Isle,Isolé,Feuillu,4.0,14,10,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier Saint-Jean,Groupe,Feuillu,12.0,94,30,0,🟢 PRIORITÉ 4 - Routine
OMISSY,Alignement,Conifère,14.0,88,35,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier de Neuville,Groupe,Feuillu,8.0,82,25,0,🟢 PRIORITÉ 4 - Routine
Quartier du Vermandois,Groupe,Feuillu,15.0,140,50,2,🟠 PRIORITÉ 2 - Inspection avant tempête
Quartier Saint-Martin - Oëstres,Alignement,Feuillu,13.0,110,50,1,🟡 PRIORITÉ 3 - Surveillance régulière
